Number of Particles,#ranks = 1,#ranks = 2,#ranks = 4,#ranks = 8,#ranks = 16,#ranks = 32,#ranks = 64,#ranks = 128
10000,0.772266,0.395775,0.206867,0.102646,0.0588934,0.0414031,0.0260568,0.0183744
20000,1.57576,0.789604,0.408127,0.210514,0.111841,0.0622338,0.0432393,0.0391145
50000,3.93474,2.01233,1.02298,0.522164,0.27268,0.151704,0.0986824,0.0616676
100000,9.18436,3.92001,1.98982,1.02798,0.542175,0.304855,0.19054,0.118957
200000,34.2494,10.5641,4.02915,2.01169,1.02473,0.587966,0.376616,0.23254
500000,102.589,48.4902,19.9031,5.47855,2.58491,1.44801,0.901051,0.5351
1000000,224.418,107.312,49.1893,19.786,5.74959,3.68757,1.9206,1.08402
2000000,453.552,229.256,111.232,51.2331,28.448,10.745,5.31227,2.71537
6000000,1429.8,706.164,362.941,191.375,105.495,49.6028,26.7477,16.5142
